q6_results.archive_month,q6_results.games,q6_results.white_win_pct,q6_results.black_win_pct,q6_results.draw_pct
2022-12,50,56.0,34.0,10.0
2023-01,186,55.38,39.78,4.84
2023-02,197,50.76,42.13,7.11
2023-03,364,43.68,49.73,6.59
2023-04,361,45.71,48.75,5.54
2023-05,313,46.96,44.41,8.63
2023-06,333,43.54,50.15,6.31
2023-07,226,46.46,48.23,5.31
2023-08,215,41.86,53.49,4.65
2023-09,182,50.0,46.15,3.85
2023-10,63,44.44,52.38,3.17
2023-11,74,47.3,48.65,4.05
2023-12,233,50.21,44.21,5.58
2024-01,293,48.12,46.08,5.8
2024-02,253,45.45,47.04,7.51
2024-03,95,45.26,50.53,4.21
2024-04,59,45.76,54.24,0.0
2024-05,149,48.32,47.65,4.03
2024-06,257,42.8,51.36,5.84
2024-07,354,47.18,50.0,2.82
2024-08,210,51.43,43.33,5.24
2024-09,351,46.15,49.86,3.99
2024-10,220,44.09,50.45,5.45
2024-11,164,51.83,43.29,4.88
2024-12,70,51.43,48.57,0.0
2025-01,59,42.37,57.63,0.0
2025-02,56,58.93,41.07,0.0
2025-03,511,43.84,51.47,4.7
2025-04,316,44.94,47.15,7.91
2025-05,55,50.91,45.45,3.64
2025-06,157,49.68,44.59,5.73
2025-07,37,40.54,54.05,5.41
2025-08,59,47.46,44.07,8.47
2025-09,390,45.64,47.95,6.41
2025-10,164,48.17,45.12,6.71
2025-11,488,47.54,45.29,7.17
2025-12,505,54.26,40.4,5.35
2026-01,268,47.39,45.52,7.09
2026-02,143,46.15,49.65,4.2
2026-03,409,44.74,47.68,7.58
